source,word,ld,nm,freq,cd,measure
scope,grind,601.645,619.083,2.281033367,2.222716471,m
scope,guilt,607.853,659.75,2.881384657,2.759667845,m
scope,guitar,644.452,631.714,2.900913068,2.534026106,m
scope,hall,597.909,646.654,3.423245874,3.197004728,m
scope,ham,632.424,597.115,2.772321707,2.526339277,m
scope,hammock,699.606,630,1.857332496,1.62324929,m
scope,hand,598.394,578.192,4.154210882,3.74530906,m
scope,handle,593.727,600.852,3.742725131,3.514946005,m
scope,harvest,622.912,592.857,2.292256071,2.164352856,m
scope,hate,524.324,568.423,4.039215766,3.676967814,m
scope,head,523.882,603.036,4.277563376,3.798995734,m
scope,health,551.485,575.96,3.312811826,3.127752516,m
scope,heaven,613.088,611.308,3.460597189,3.206556044,m
scope,hit,536.469,533.103,4.146933835,3.706973676,m
scope,honey,631.455,553.857,4.185428821,3.621799224,m
scope,hope,536.606,544.731,4.213597437,3.787035182,m
scope,hostage,790.667,582.25,2.871572936,2.553883027,m
scope,hostess,676.548,665.75,2.278753601,2.198657087,m
scope,hurdle,716.323,604.926,1.579783597,1.531478917,m
scope,husband,697,589.393,3.997211583,3.528659645,m
scope,impress,692.909,622.846,2.716837723,2.62838893,m
scope,incest,738.441,664.154,1.653212514,1.531478917,m
scope,island,608.516,644.111,3.305136319,2.835690571,m
scope,issue,640.935,563.308,3.241048151,3.075181855,m
scope,item,565.727,542.37,2.798650645,2.636487896,m
scope,jacket,580.029,594.778,3.231724383,2.987666265,m
scope,jewel,673.906,655.593,2.568201724,2.257678575,m
scope,jungle,589.758,664.321,3.061452479,2.687528961,m
scope,junk,647.469,625.607,2.894869657,2.756636108,m
scope,justice,576.576,583.926,3.281260687,3.022840611,m
scope,kill,601.441,557.464,4.363273437,3.755951041,m
scope,knock,684.4,595.214,3.51851394,3.31993844,m
scope,knowledge,766.242,666.556,3.114944416,2.971739591,m
scope,lace,644.387,551.393,2.278753601,2.136720567,m
scope,ladder,569.406,566,2.674861141,2.496929648,m
scope,launch,630.529,561,3.008174184,2.597695186,m
scope,leaf,559.375,560.821,2.424881637,2.338456494,m
scope,leisure,728.706,636.333,2.113943352,2.008600172,m
scope,leopard,741.25,645.556,2.442479769,1.929418926,m
scope,lettuce,631.706,643.615,2.240549248,2.093421685,m
scope,limit,638.455,581.769,2.822821645,2.749736316,m
scope,line,656.903,614.607,4.021850577,3.657055853,m
scope,lobster,596.061,638.667,2.574031268,2.305351369,m
scope,luck,575.742,576.037,3.894371454,3.588271707,m
scope,luggage,733.606,630.875,2.754348336,2.574031268,m
scope,lumber,643.324,567.31,2.103803721,1.924279286,m
scope,lunch,587.545,601.179,3.725176301,3.421274791,m
scope,lust,614.059,634.185,2.45484486,2.326335861,m
scope,malice,682.469,681.852,1.785329835,1.69019608,m
scope,mammal,836.517,737.692,1.799340549,1.72427587,m
scope,mansion,702.806,629.318,2.51851394,2.320146286,m
scope,marvel,648.719,619.143,2,1.857332496,m
scope,mate,628.219,593.48,3.173768823,2.813580989,m
scope,melon,612.97,617.963,2.340444115,2,m
scope,menace,661.212,680.8,2.281033367,2.184691431,m
scope,merchant,723.706,608.385,2.167317335,2.033423755,m
scope,message,602.576,634.12,3.669130847,3.384711743,m
scope,metal,585.364,595.111,2.996949248,2.822168079,m
scope,methane,764.034,689.519,1.770852012,1.579783597,m
scope,method,666.765,569.714,2.605305046,2.478566496,m
scope,midst,680.533,666.042,2.245512668,2.198657087,m
scope,mirror,560.147,571.036,3.09131516,2.940516485,m
scope,mischief,677.562,615.423,2.033423755,1.924279286,m
scope,mistress,649.471,631.52,2.783188691,2.474216264,m
scope,model,616.765,614.852,3.213783299,2.992553518,m
scope,moisture,692.606,637.962,1.799340549,1.72427587,m
