Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Auditory.SD,Gustatory.SD,Haptic.SD,Interoceptive.SD,Olfactory.SD,Visual.SD,Foot_leg.SD,Hand_arm.SD,Head.SD,Mouth.SD,Torso.SD
BUFFALO,2.277777778,1.555555556,1.666666667,0.444444444,1.5,4.333333333,0.25,0.65,2.5,0.6,0.55,1.808657466,1.616904167,1.714985851,1.199128224,1.653872461,1.084652289,0.910465468,1.182103388,2.115108558,1.353358396,1.234376041
BULLISHNESS,1.125,0.125,0.5625,1.9375,0.0625,2.4375,0.777777778,1,2.5,0.944444444,1.111111111,1.543804824,0.341565026,1.030776406,2.294013949,0.25,1.787689384,1.437135859,1.533929978,2.176073096,1.551933224,1.745208192
BUNTED,1.176470588,0.294117647,2.352941176,0.294117647,0.176470588,3.647058824,1.6,2.15,2.4,0.35,1.35,1.50977209,0.848874688,2.148871113,0.985184366,0.52859414,1.868862504,1.569445091,2.158825217,2.161870535,0.812727701,1.565247584
BUTTERSCOTCH,0.727272727,4.272727273,1.681818182,1.181818182,3.090909091,2.909090909,0.055555556,0.833333333,1.666666667,3.666666667,0.055555556,1.485864128,1.162174406,1.886956825,1.816232722,1.570838142,1.715728109,0.23570226,1.543487266,2,1.909727421,0.23570226
BUTTERY,0.434782609,3.826086957,2.086956522,0.826086957,2.173913043,2.304347826,0.277777778,1.222222222,1.888888889,3.444444444,0.388888889,1.160959124,1.77487961,1.998022738,1.497032638,1.945908853,2.009857132,0.751903902,1.664704728,1.996729352,2.006525303,1.036900863
CAKE PAN,0.722222222,0.666666667,2.833333333,0.111111111,0.388888889,4.166666667,0.35,2.95,2.3,0.4,0.6,1.127493605,1.644956642,1.947849493,0.323380833,0.849836586,1.504893977,0.933302004,2.163695669,1.657518754,0.994722918,1.273205652
CAMP,1.842105263,0.526315789,1.894736842,0.473684211,1.526315789,3.526315789,2.619047619,2.476190476,2.857142857,1.476190476,1.904761905,1.42451387,1.172292202,1.559727072,1.073334423,1.348596845,1.743827879,1.856776521,1.833549771,1.982062418,1.536848972,1.729299335
CANNOT,2.444444444,0,0.166666667,1,0.166666667,1.555555556,0.8,1,2.75,1.4,0.9,2.120549935,0,0.707106781,1.84709629,0.514495755,2.035630332,1.50787407,1.654340384,1.970172314,1.759186415,1.682729612
CARMAKER,1.4375,0,1,0.25,0.5,3.3125,0.894736842,2.157894737,1.947368421,0.736842105,0.842105263,1.590335394,0,1.549193338,0.774596669,1.211060142,1.778341924,1.559727072,2.409775414,1.870047064,1.326738074,1.572795031
CASTLED,0.6,0,0.3,0.4,0,3,0.466666667,1.066666667,1.533333333,0.6,0.4,1.0749677,0,0.674948558,0.966091783,0,2.260776661,1.125462868,1.830950833,1.726543478,1.121223821,0.91025899
CATEGORY,1.222222222,0.777777778,1,0.888888889,0.722222222,2,0.631578947,0.842105263,2,1.368421053,0.736842105,1.592465922,1.664704728,1.644956642,1.676441922,1.637988564,1.84709629,1.422459775,1.537066394,1.885618083,1.920952493,1.484815936
CAUSER,1.785714286,0.285714286,0.5,0.571428571,0.071428571,2.714285714,1.157894737,1.631578947,2.473684211,1.736842105,0.789473684,1.672334684,0.825420306,1.019049331,0.851630627,0.267261242,1.683794772,1.740471133,1.920952493,1.743827879,1.880960312,1.43677677
CENTERPIECES,0.352941176,0.294117647,2.117647059,0.235294118,0.705882353,4.352941176,0.3,2.05,3.1,0.5,0.5,0.996316746,0.985184366,1.996320144,0.664211164,1.358524286,1.169464432,0.732695097,1.986136159,1.916685736,1,1.235441536
CENTRALIST,1,0,0,0.461538462,0,1,0.470588235,0.529411765,2.705882353,1.058823529,0.588235294,1.683250823,0,0,1.126601424,0,1.779513042,1.280510009,1.374665735,2.143732314,1.712840778,1.66052791
